Time [s],Value,Parity Error,Framing Error
16.734767416666667,2,,
16.734854083333332,0,,
16.734940750000000,0,,
16.735027416666668,48,,
16.735114124999999,193,,
17.451143458333334,85,,
17.451230166666665,17,,
17.451316833333333,4,,
17.451403500000001,146,,
17.451490166666666,4,,
17.451576833333334,11,,
17.451663541666665,214,,
17.451750208333333,81,,
17.451836875000001,32,,
17.451923541666666,13,,
17.452010208333334,2,,
17.452096916666665,0,,
17.452183583333333,0,,
17.452270250000002,0,,
17.452356916666666,1,,
17.452443583333334,110,,
17.452530291666665,250,,
17.452616958333333,85,,
17.452703625000002,17,,
17.452790291666666,4,,
17.452876958333334,146,,
17.452963666666665,3,,
17.453050333333334,11,,
17.453137000000002,90,,
17.453223666666666,23,,
17.453310333333334,32,,
17.453397041666666,13,,
17.453483708333334,3,,
17.453570375000002,1,,
17.453657041666666,0,,
17.453743708333334,0,,
17.453830416666666,0,,
17.453917083333334,70,,
17.454003749999998,160,,
17.691163416666665,85,,
17.691250083333333,13,,
17.691336750000001,4,,
17.691423416666666,51,,
17.691510083333334,74,,
17.691596791666665,11,,
17.691683458333333,0,,
17.691770125000001,0,,
17.691856791666666,64,,
17.691943458333334,0,,
17.692030166666665,1,,
17.692116833333333,105,,
17.692203500000002,208,,
17.731259166666668,85,,
17.731345833333332,17,,
17.731432541666667,4,,
17.731519208333335,146,,
17.731605875000000,3,,
17.731692541666668,11,,
17.731779208333332,67,,
17.731865875000000,0,,
17.731952583333332,128,,
17.732039250000000,14,,
17.732125916666668,34,,
17.732212583333332,0,,
17.732299250000001,0,,
17.732385958333332,136,,
17.732472625000000,19,,
17.732559291666668,8,,
17.732645958333332,84,,
17.732732625000001,85,,
17.732819333333332,15,,
17.732906000000000,4,,
17.732992666666668,162,,
17.733079333333333,3,,
17.733166000000001,11,,
17.733252708333332,0,,
17.733339375000000,0,,
17.733426041666668,128,,
17.733512708333333,13,,
17.733599375000001,2,,
17.733686083333332,0,,
17.733772750000000,0,,
17.733859416666668,48,,
17.733946083333333,193,,
18.451188958333333,85,,
18.451275625000001,17,,
18.451362291666666,4,,
18.451448958333334,146,,
18.451535625000002,4,,
18.451622291666666,11,,
18.451709000000001,166,,
18.451795666666666,89,,
18.451882333333334,32,,
18.451968999999998,13,,
18.452055666666666,2,,
18.452142375000001,0,,
18.452229041666666,0,,
18.452315708333334,0,,
18.452402374999998,1,,
18.452489041666666,28,,
18.452575750000001,57,,
18.452662416666666,85,,
18.452749083333334,17,,
18.452835749999998,4,,
18.452922416666667,146,,
18.453009125000001,3,,
18.453095791666666,11,,
18.453182458333334,111,,
18.453269124999998,26,,
18.453355791666667,32,,
18.453442500000001,13,,
18.453529166666666,3,,
18.453615833333334,1,,
18.453702499999999,0,,
18.453789166666667,0,,
18.453875875000001,0,,
18.453962541666666,46,,
18.454049208333334,96,,
18.733904875000000,85,,
18.733991541666665,15,,
18.734078250000000,4,,
18.734164916666668,162,,
18.734251583333332,3,,
18.734338250000000,11,,
18.734424916666665,71,,
18.734511625000000,0,,
18.734598291666668,128,,
18.734684958333332,14,,
18.734771625000000,2,,
18.734858291666665,0,,
18.734945000000000,1,,
18.735031666666668,106,,
18.735118333333332,245,,
18.735205000000001,85,,
18.735291666666665,17,,
18.735378375000000,4,,
18.735465041666668,146,,
18.735551708333332,3,,
18.735638375000001,11,,
18.735725041666665,72,,
18.735811750000000,0,,
18.735898416666668,128,,
18.735985083333333,14,,
18.736071750000001,34,,
18.736158416666665,0,,
18.736245125000000,0,,
18.736331791666668,136,,
18.736418458333333,19,,
18.736505125000001,197,,
18.736591791666665,253,,
18.751430541666668,85,,
18.751517208333333,15,,
18.751603875000001,4,,
18.751690541666665,162,,
18.751777250000000,3,,
18.751863916666668,11,,
18.751950583333333,73,,
18.752037250000001,0,,
18.752123916666665,128,,
18.752210625000000,14,,
18.752297291666668,35,,
18.752383958333333,0,,
18.752470625000001,0,,
18.752557291666665,37,,
18.752644000000000,59,,
18.752730666666668,85,,
18.752817333333333,15,,
18.752904000000001,4,,
18.752990666666665,162,,
18.753077375000000,3,,
18.753164041666668,11,,
18.753250708333333,0,,
18.753337375000001,0,,
18.753424041666666,128,,
18.753510750000000,13,,
18.753597416666668,2,,
18.753684083333333,0,,
18.753770750000001,0,,
18.753857416666666,48,,
18.753944125000000,193,,
19.451321125000000,85,,
19.451407791666668,17,,
19.451494458333332,4,,
19.451581125000001,146,,
19.451667791666665,4,,
19.451754500000000,11,,
19.451841166666668,118,,
19.451927833333333,97,,
19.452014500000001,32,,
19.452101166666665,13,,
19.452187875000000,2,,
19.452274541666668,0,,
19.452361208333333,0,,
19.452447875000001,0,,
19.452534541666665,1,,
19.452621250000000,8,,
19.452707916666668,36,,
19.452794583333333,85,,
19.452881250000001,17,,
19.452967916666665,4,,
19.453054625000000,146,,
19.453141291666668,3,,
19.453227958333333,11,,
19.453314625000001,177,,
19.453401291666665,29,,
19.453488000000000,32,,
19.453574666666668,13,,
19.453661333333333,3,,
19.453748000000001,1,,
19.453834666666665,0,,
19.453921375000000,0,,
19.454008041666668,0,,
19.454094708333333,213,,
19.454181375000001,250,,
19.731419500000001,85,,
19.731506166666666,17,,
19.731592833333334,4,,
19.731679499999998,146,,
19.731766208333333,3,,
19.731852875000001,11,,
19.731939541666666,77,,
19.732026208333334,0,,
19.732112874999999,128,,
19.732199583333333,14,,
19.732286250000001,34,,
19.732372916666666,0,,
19.732459583333334,0,,
19.732546249999999,136,,
19.732632958333333,19,,
19.732719625000001,221,,
19.732806291666666,143,,
19.732892958333334,85,,
19.732979624999999,15,,
19.733066333333333,4,,
19.733153000000001,162,,
19.733239666666666,3,,
19.733326333333334,11,,
19.733412999999999,0,,
19.733499708333333,0,,
19.733586375000002,128,,
19.733673041666666,13,,
19.733759708333334,2,,
19.733846374999999,0,,
19.733933041666667,0,,
19.734019750000002,48,,
19.734106416666666,193,,
20.431379416666665,85,,
20.431466125000000,17,,
20.431552791666668,4,,
20.431639458333333,146,,
20.431726125000001,4,,
20.431812791666665,11,,
20.431899500000000,70,,
20.431986166666668,105,,
20.432072833333333,32,,
20.432159500000001,13,,
20.432246166666665,2,,
20.432332875000000,0,,
20.432419541666668,0,,
20.432506208333333,0,,
20.432592875000001,1,,
20.432679541666666,25,,
20.432766208333334,1,,
20.451566000000000,85,,
20.451652666666668,17,,
20.451739333333332,4,,
20.451826041666667,146,,
20.451912708333332,3,,
20.451999375000000,11,,
20.452086041666668,182,,
20.452172708333332,32,,
20.452259416666667,32,,
20.452346083333332,13,,
20.452432750000000,3,,
20.452519416666668,1,,
20.452606083333333,0,,
20.452692791666667,0,,
20.452779458333332,0,,
20.452866125000000,98,,
20.452952791666668,68,,
